CODE_GAME;CODE_EVENT;CODE_PLAYER;VALUE
4;8;164;1;
4;9;164;8;
4;10;164;3;
4;11;164;6;
4;1;165;8;
4;2;165;2;
4;3;165;6;
4;4;165;1;
4;5;165;9;
4;6;165;6;
4;7;165;1;
4;8;165;9;
4;9;165;5;
4;10;165;4;
4;11;165;5;
4;1;166;8;
4;2;166;6;
4;3;166;8;
4;4;166;1;
4;5;166;6;
4;6;166;7;
4;7;166;1;
4;8;166;9;
4;9;166;9;
4;10;166;2;
4;11;166;4;
4;1;167;1;
4;2;167;5;
4;3;167;4;
4;4;167;2;
4;5;167;5;
4;6;167;3;
4;7;167;5;
4;8;167;5;
4;9;167;8;
4;10;167;1;
4;11;167;9;
4;1;168;5;
4;2;168;2;
4;3;168;5;
4;4;168;3;
4;5;168;1;
4;6;168;5;
4;7;168;2;
4;8;168;7;
4;9;168;5;
4;10;168;7;
4;11;168;2;
4;1;169;7;
4;2;169;3;
4;3;169;3;
4;4;169;5;
4;5;169;5;
4;6;169;4;
4;7;169;3;
4;8;169;4;
4;9;169;4;
4;10;169;9;
4;11;169;6;
4;1;170;5;
4;2;170;5;
4;3;170;4;
4;4;170;2;
4;5;170;6;
4;6;170;9;
4;7;170;3;
4;8;170;2;
4;9;170;2;
4;10;170;7;
4;11;170;8;
4;1;171;3;
4;2;171;5;
4;3;171;5;
4;4;171;6;
4;5;171;2;
4;6;171;4;
4;7;171;3;
4;8;171;1;
4;9;171;3;
4;10;171;3;
4;11;171;2;
4;1;172;3;
4;2;172;9;
4;3;172;6;
4;4;172;6;
4;5;172;3;
4;6;172;4;
4;7;172;7;
4;8;172;5;
4;9;172;7;
4;10;172;8;
4;11;172;7;
4;1;173;1;
4;2;173;6;
4;3;173;3;
4;4;173;2;
4;5;173;7;
4;6;173;8;
4;7;173;5;
4;8;173;1;
4;9;173;6;
4;10;173;5;
4;11;173;1;
4;1;174;7;
4;2;174;9;
4;3;174;9;
4;4;174;7;
4;5;174;3;
4;6;174;3;
4;7;174;8;
4;8;174;9;
4;9;174;6;
4;10;174;5;
4;11;174;8;
4;1;175;6;
4;2;175;4;
4;3;175;6;
4;4;175;1;
4;5;175;2;
4;6;175;8;
4;7;175;8;
4;8;175;9;
4;9;175;8;
4;10;175;8;
4;11;175;9;
4;1;176;3;
4;2;176;9;
4;3;176;9;
4;4;176;7;
4;5;176;3;
4;6;176;6;
4;7;176;4;
4;8;176;9;
4;9;176;6;
4;10;176;8;
4;11;176;1;
4;1;177;8;
4;2;177;3;
4;3;177;2;
4;4;177;7;
4;5;177;9;
4;6;177;5;
4;7;177;4;
4;8;177;9;
4;9;177;1;
4;10;177;8;
4;11;177;3;
4;1;178;1;
4;2;178;6;
4;3;178;9;
4;4;178;2;
4;5;178;7;
4;6;178;6;
4;7;178;5;
4;8;178;5;
4;9;178;6;
4;10;178;9;
4;11;178;3;
4;1;179;6;
4;2;179;2;
4;3;179;4;
4;4;179;9;
4;5;179;5;
4;6;179;9;
4;7;179;8;
4;8;179;3;
4;9;179;9;
4;10;179;1;
4;11;179;8;
4;1;180;9;
4;2;180;2;
4;3;180;5;
4;4;180;4;
4;5;180;6;
4;6;180;9;
4;7;180;7;
4;8;180;6;
4;9;180;5;
4;10;180;7;
4;11;180;7;
5;1;201;5;
5;2;201;5;
5;3;201;5;
5;4;201;9;
5;5;201;2;
5;6;201;8;
5;7;201;1;
5;8;201;6;
5;9;201;2;
5;10;201;9;
5;11;201;5;
5;1;202;9;
5;2;202;2;
5;3;202;6;
5;4;202;4;
5;5;202;9;
5;6;202;3;
5;7;202;4;
5;8;202;7;
5;9;202;5;
5;10;202;7;
5;11;202;9;
5;1;203;4;
5;2;203;9;
5;3;203;3;
5;4;203;1;
5;5;203;1;
5;6;203;9;
5;7;203;4;
5;8;203;4;
5;9;203;7;
5;10;203;2;
5;11;203;7;
5;1;204;9;
5;2;204;2;
5;3;204;5;
5;4;204;7;
5;5;204;5;
5;6;204;2;
5;7;204;1;
5;8;204;8;
5;9;204;2;
5;10;204;1;
5;11;204;3;
5;1;205;1;
5;2;205;5;
5;3;205;6;
5;4;205;5;
5;5;205;1;
5;6;205;7;
5;7;205;6;
5;8;205;2;
5;9;205;4;
5;10;205;7;
5;11;205;9;
5;1;206;7;
5;2;206;6;
5;3;206;8;
5;4;206;1;
5;5;206;6;
5;6;206;5;
5;7;206;3;
5;8;206;2;
5;9;206;7;
5;10;206;3;
5;11;206;1;
5;1;207;4;
5;2;207;7;
5;3;207;8;
5;4;207;4;
5;5;207;1;
5;6;207;7;
5;7;207;5;
5;8;207;5;
5;9;207;3;
5;10;207;1;
5;11;207;9;
5;1;208;1;
5;2;208;2;
5;3;208;5;
5;4;208;4;
5;5;208;1;
5;6;208;7;
5;7;208;5;
5;8;208;1;
5;9;208;9;
5;10;208;8;
5;11;208;1;
5;1;209;5;
5;2;209;3;
5;3;209;8;
5;4;209;3;
5;5;209;5;
5;6;209;3;
5;7;209;5;
5;8;209;9;
5;9;209;7;
5;10;209;2;
5;11;209;2;
5;1;210;9;
5;2;210;7;
5;3;210;4;
5;4;210;4;
5;5;210;6;
5;6;210;1;
5;7;210;8;
5;8;210;4;
5;9;210;4;
5;10;210;6;
5;11;210;2;
5;1;211;8;
5;2;211;1;
5;3;211;4;
5;4;211;3;
5;5;211;5;
5;6;211;4;
5;7;211;3;
5;8;211;2;
5;9;211;2;
5;10;211;6;
5;11;211;5;
5;1;212;7;
5;2;212;1;
5;3;212;4;
5;4;212;7;
5;5;212;1;
5;6;212;5;
5;7;212;8;
5;8;212;9;
5;9;212;5;
5;10;212;4;
5;11;212;4;
5;1;213;2;
5;2;213;1;
5;3;213;5;
5;4;213;7;
5;5;213;6;
5;6;213;4;
5;7;213;5;
5;8;213;4;
5;9;213;4;
5;10;213;6;
5;11;213;1;
5;1;214;5;
5;2;214;7;
5;3;214;5;
5;4;214;2;
5;5;214;7;
5;6;214;2;
5;7;214;7;
5;8;214;8;
5;9;214;9;
5;10;214;8;
5;11;214;8;
5;1;215;5;
5;2;215;8;
5;3;215;6;
5;4;215;5;
5;5;215;8;
5;6;215;3;
5;7;215;1;
5;8;215;7;
5;9;215;7;
5;10;215;3;
5;11;215;1;
5;1;216;2;
5;2;216;8;
5;3;216;5;
5;4;216;3;
5;5;216;4;
5;6;216;5;
5;7;216;2;
5;8;216;9;
5;9;216;6;
5;10;216;7;
5;11;216;4;
5;1;217;3;
5;2;217;3;
5;3;217;8;
5;4;217;9;
5;5;217;1;
5;6;217;9;
5;7;217;7;
5;8;217;1;
5;9;217;2;
5;10;217;3;
5;11;217;9;
5;1;218;6;
5;2;218;5;
5;3;218;8;
5;4;218;1;
5;5;218;4;
5;6;218;8;
5;7;218;3;
5;8;218;3;
5;9;218;8;
5;10;218;2;
5;11;218;8;
5;1;219;8;
5;2;219;2;
5;3;219;6;
5;4;219;6;
5;5;219;2;
5;6;219;6;
5;7;219;1;
5;8;219;3;
5;9;219;1;
5;10;219;1;
5;11;219;7;
5;1;220;3;
5;2;220;3;
5;3;220;2;
5;4;220;1;
5;5;220;7;
5;6;220;2;
5;7;220;7;
5;8;220;4;
5;9;220;5;
5;10;220;6;
5;11;220;5;
6;1;221;6;
6;2;221;8;
6;3;221;3;
6;4;221;1;
6;5;221;1;
6;6;221;8;
6;7;221;5;
6;8;221;3;
6;9;221;9;
6;10;221;6;
6;11;221;6;
6;1;222;6;
6;2;222;7;
6;3;222;7;
6;4;222;3;
6;5;222;5;
6;6;222;3;
6;7;222;1;
6;8;222;9;
6;9;222;8;
6;10;222;9;
6;11;222;7;
6;1;223;4;
6;2;223;1;
6;3;223;5;
6;4;223;9;
6;5;223;1;
6;6;223;3;
6;7;223;1;
6;8;223;5;
6;9;223;3;
6;10;223;9;
6;11;223;3;
6;1;224;1;
6;2;224;2;
6;3;224;6;
6;4;224;9;
6;5;224;9;
6;6;224;3;
6;7;224;3;
6;8;224;5;
6;9;224;5;
6;10;224;7;
6;11;224;1;
6;1;225;9;
6;2;225;8;
6;3;225;4;
6;4;225;5;
6;5;225;9;
6;6;225;3;
6;7;225;5;
6;8;225;2;
6;9;225;6;
6;10;225;9;
6;11;225;1;
6;1;226;4;
6;2;226;5;
6;3;226;6;
6;4;226;3;
6;5;226;9;
6;6;226;6;
6;7;226;5;
6;8;226;6;
6;9;226;8;
6;10;226;1;
6;11;226;3;
6;1;227;4;
6;2;227;9;
6;3;227;1;
6;4;227;6;
6;5;227;9;
6;6;227;4;
6;7;227;4;
6;8;227;8;
6;9;227;8;
6;10;227;8;
6;11;227;1;
6;1;228;6;
6;2;228;1;
6;3;228;7;
6;4;228;2;
6;5;228;1;
6;6;228;4;
6;7;228;1;
6;8;228;6;
6;9;228;4;
6;10;228;7;
6;11;228;6;
6;1;229;1;
6;2;229;8;
6;3;229;4;
6;4;229;8;
6;5;229;5;
6;6;229;5;
6;7;229;3;
6;8;229;9;
6;9;229;9;
6;10;229;9;
6;11;229;7;
6;1;230;1;
6;2;230;2;
6;3;230;1;
6;4;230;4;
6;5;230;2;
6;6;230;4;
6;7;230;8;
6;8;230;9;
6;9;230;4;
6;10;230;4;
6;11;230;5;
6;1;231;7;
6;2;231;8;
6;3;231;4;
6;4;231;2;
6;5;231;8;
6;6;231;9;
6;7;231;1;
6;8;231;1;
6;9;231;1;
6;10;231;9;
6;11;231;8;
6;1;232;8;
6;2;232;6;
6;3;232;2;
6;4;232;6;
6;5;232;1;
6;6;232;4;
6;7;232;8;
6;8;232;3;
6;9;232;3;
6;10;232;8;
6;11;232;7;
6;1;233;8;
6;2;233;4;
6;3;233;5;
6;4;233;6;
6;5;233;6;
6;6;233;2;
6;7;233;8;
6;8;233;7;
6;9;233;8;
6;10;233;7;
6;11;233;4;
6;1;234;1;
6;2;234;4;
6;3;234;5;
6;4;234;4;
6;5;234;1;
6;6;234;1;
6;7;234;4;
6;8;234;6;
6;9;234;5;
6;10;234;9;
6;11;234;4;
6;1;235;6;
6;2;235;3;
6;3;235;5;
6;4;235;9;
6;5;235;8;
6;6;235;4;
6;7;235;9;
6;8;235;2;
6;9;235;7;
6;10;235;9;
6;11;235;2;
6;1;236;3;
6;2;236;7;
6;3;236;4;
6;4;236;1;
6;5;236;6;
6;6;236;2;
6;7;236;7;
6;8;236;4;
6;9;236;3;
6;10;236;9;
6;11;236;3;
6;1;237;5;
6;2;237;3;
6;3;237;6;
6;4;237;1;
6;5;237;2;
6;6;237;6;
6;7;237;5;
6;8;237;8;
6;9;237;8;
6;10;237;9;
6;11;237;2;
6;1;238;2;
6;2;238;7;
6;3;238;7;
6;4;238;7;
6;5;238;7;
6;6;238;9;
6;7;238;5;
6;8;238;9;
6;9;238;7;
6;10;238;6;
6;11;238;9;
6;1;239;5;
6;2;239;3;
6;3;239;8;
6;4;239;3;
6;5;239;2;
6;6;239;4;
6;7;239;7;
6;8;239;8;
6;9;239;3;
6;10;239;1;
6;11;239;9;
6;1;240;1;
6;2;240;7;
6;3;240;8;
6;4;240;5;
6;5;240;6;
6;6;240;6;
6;7;240;1;
6;8;240;1;
6;9;240;2;
6;10;240;5;
6;11;240;8;
7;1;241;9;
7;2;241;2;
7;3;241;1;
7;4;241;3;
7;5;241;1;
7;6;241;7;
7;7;241;6;
7;8;241;6;
7;9;241;7;
7;10;241;3;
7;11;241;4;
7;1;242;8;
7;2;242;1;
7;3;242;7;
7;4;242;8;
7;5;242;4;
7;6;242;3;
7;7;242;1;
7;8;242;7;
7;9;242;8;
7;10;242;9;
7;11;242;8;
7;1;243;6;
7;2;243;7;
7;3;243;6;
7;4;243;8;
7;5;243;8;
7;6;243;1;
7;7;243;8;
7;8;243;3;
7;9;243;3;
7;10;243;9;
7;11;243;3;
7;1;244;9;
7;2;244;7;
7;3;244;6;
7;4;244;7;
7;5;244;1;
7;6;244;9;
7;7;244;7;
7;8;244;6;
7;9;244;5;
7;10;244;9;
7;11;244;3;
7;1;245;1;
7;2;245;9;
7;3;245;8;
7;4;245;2;
7;5;245;8;
7;6;245;2;
7;7;245;4;
7;8;245;9;
7;9;245;2;
7;10;245;2;
7;11;245;7;
7;1;246;9;
7;2;246;3;
7;3;246;7;
7;4;246;5;
7;5;246;6;
7;6;246;2;
7;7;246;2;
7;8;246;1;
7;9;246;1;
7;10;246;8;
7;11;246;7;
7;1;247;5;
7;2;247;3;
7;3;247;4;
7;4;247;5;
7;5;247;4;
7;6;247;7;
7;7;247;4;
7;8;247;6;
7;9;247;1;
7;10;247;7;
7;11;247;6;
7;1;248;8;
7;2;248;9;
7;3;248;6;
7;4;248;4;
7;5;248;2;
7;6;248;6;
7;7;248;8;
7;8;248;1;
7;9;248;8;
7;10;248;6;
7;11;248;4;
7;1;249;7;
7;2;249;7;
7;3;249;9;
7;4;249;2;
7;5;249;7;
7;6;249;7;
7;7;249;3;
7;8;249;2;
7;9;249;7;
7;10;249;8;
7;11;249;8;
7;1;250;9;
7;2;250;7;
7;3;250;9;
7;4;250;7;
7;5;250;6;
7;6;250;6;
7;7;250;3;
7;8;250;1;
7;9;250;4;
7;10;250;5;
7;11;250;2;
7;1;251;9;
7;2;251;7;
7;3;251;8;
7;4;251;7;
7;5;251;9;
7;6;251;8;
7;7;251;9;
7;8;251;3;
7;9;251;9;
7;10;251;8;
7;11;251;6;
7;1;252;8;
7;2;252;6;
7;3;252;4;
7;4;252;5;
7;5;252;4;
7;6;252;3;
7;7;252;6;
7;8;252;5;
7;9;252;2;
7;10;252;6;
7;11;252;9;
7;1;253;6;
7;2;253;6;
7;3;253;8;
7;4;253;2;
7;5;253;5;
7;6;253;6;
7;7;253;3;
7;8;253;7;
7;9;253;5;
7;10;253;7;
7;11;253;6;
7;1;254;6;
7;2;254;4;
7;3;254;3;
7;4;254;6;
7;5;254;3;
7;6;254;6;
7;7;254;6;
7;8;254;3;
7;9;254;5;
7;10;254;4;
7;11;254;8;
7;1;255;8;
7;2;255;9;
7;3;255;2;
7;4;255;5;
7;5;255;8;
7;6;255;3;
7;7;255;9;
7;8;255;3;
7;9;255;4;
7;10;255;8;
7;11;255;3;
7;1;256;6;
7;2;256;5;
7;3;256;4;
7;4;256;7;
7;5;256;9;
7;6;256;9;
7;7;256;1;
7;8;256;1;
7;9;256;3;
7;10;256;2;
7;11;256;8;
7;1;257;4;
7;2;257;9;
7;3;257;1;
7;4;257;2;
7;5;257;4;
7;6;257;4;
7;7;257;6;
7;8;257;7;
7;9;257;4;
7;10;257;6;
7;11;257;9;
7;1;258;9;
7;2;258;5;
7;3;258;2;
7;4;258;3;
7;5;258;3;
7;6;258;4;
7;7;258;3;
7;8;258;3;
7;9;258;7;
7;10;258;6;
7;11;258;9;
7;1;259;5;
7;2;259;1;
7;3;259;6;
7;4;259;5;
7;5;259;5;
7;6;259;4;
7;7;259;1;
7;8;259;8;
7;9;259;4;
7;10;259;1;
7;11;259;3;
7;1;260;8;
7;2;260;5;
7;3;260;9;
7;4;260;6;
7;5;260;6;
7;6;260;6;
7;7;260;1;
7;8;260;8;
7;9;260;9;
7;10;260;8;
7;11;260;1;
8;1;261;9;
8;2;261;4;
8;3;261;8;
8;4;261;2;
8;5;261;6;
8;6;261;3;
8;7;261;7;
8;8;261;2;
